FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr
Careers,115200,Fellowships,Stipendien,Bourses 
Careers,96600,Fellowships,Stipendien,Bourses 
Careers,94300,Fellowships,Stipendien,Bourses 
Careers,151000,Fellowships,Stipendien,Bourses 
Careers,106000,Fellowships,Stipendien,Bourses 
Careers,112000,Fellowships,Stipendien,Bourses 
Careers,109800,Fellowships,Stipendien,Bourses 
Careers,91500,Fellowships,Stipendien,Bourses 
Careers,109100,Fellowships,Stipendien,Bourses 
Careers,100000,Fellowships,Stipendien,Bourses 
Careers,107935,Fellowships,Stipendien,Bourses 
Science communication,4153,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2217,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1669,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1550,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2649,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4190,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5358,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1206,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2589,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3200,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1295,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2643,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2761,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1854,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2260,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2117,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1440,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5445,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2876,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2019,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2736,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2075,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5315,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1077,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2903,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2289,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1618,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2216,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1719,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1034,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4680,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1233,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1553,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1357,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1288,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2456,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1707,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2000,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1706,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3187,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2462,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1414,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1186,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1405,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2948,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1519,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1290,Open Access Article,Open Access Artikel,Open Access Article
Careers,85800,Fellowships,Stipendien,Bourses 
Careers,84875,Fellowships,Stipendien,Bourses 
Careers,101200,Fellowships,Stipendien,Bourses 
Careers,116000,Fellowships,Stipendien,Bourses 
Careers,120000,Fellowships,Stipendien,Bourses 
Careers,89250,Fellowships,Stipendien,Bourses 
Careers,121000,Fellowships,Stipendien,Bourses 
Careers,118000,Fellowships,Stipendien,Bourses 
Science communication,1500,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2730,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4042,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2846,Open Access Article,Open Access Artikel,Open Access Article
Science communication,848,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1803,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1564,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3380,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3620,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1467,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2930,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3600,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2888,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1747,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2592,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3320,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1723,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2705,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2320,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1206,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2213,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4500,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1981,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5800,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2850,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1517,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3604,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1767,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5263,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2246,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2732,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3175,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1584,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2270,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1953,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2824,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3808,Open Access Article,Open Access Artikel,Open Access Article
Science communication,807,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1143,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1440,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4245,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1119,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3522,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3100,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2200,Open Access Article,Open Access Artikel,Open Access Article
Science communication,864,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1851,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1159,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3446,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1149,Open Access Article,Open Access Artikel,Open Access Article
Careers,102600,Fellowships,Stipendien,Bourses 
Careers,122600,Fellowships,Stipendien,Bourses 
Careers,94800,Fellowships,Stipendien,Bourses 
Careers,73300,Fellowships,Stipendien,Bourses 
Careers,116000,Fellowships,Stipendien,Bourses 
Careers,126000,Fellowships,Stipendien,Bourses 
Careers,104000,Fellowships,Stipendien,Bourses 
Project funding,850000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,14825,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,24500,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,6050,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,6000,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,19027,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,14100,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,27222,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,18500,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,46093,Agora,Agora,Agora
Project funding,629177,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,891899,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,11396,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,856784,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,678066,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,10000,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,466164,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,780000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,18700,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,286978,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,738464,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Programmes,125120,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Programmes,249998,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux
Programmes,120000,NRP 76 Welfare and coercion,NFP 76 Fürsorge und Zwang,PNR 76 Assistance et coercition
Project funding,637736,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Programmes,250000,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux
Programmes,1147919,Bridge - Discovery,Bridge - Discovery,Bridge - Discovery
Programmes,1500000,Bridge - Discovery,Bridge - Discovery,Bridge - Discovery
Science communication,21500,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Infrastructure,86973,R'EQUIP,R'EQUIP,R'EQUIP
Project funding,322260,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,7200,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,435904,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,626755,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,702062,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,200000,Agora,Agora,Agora
Programmes,319180,COST (European Cooperation in Science and Technology),COST (European Cooperation in Science and Technology),COST (European Cooperation in Science and Technology)
Project funding,930473,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,216918,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,384493,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,530500,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,18500,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,431330,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,573497,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,4200,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,25000,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,9000,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,4900,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,25000,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,19000,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,24400,Open Access Books,Open Access Bücher,Open Access Livres
Project funding,509110,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,84076,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,454511,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,28000,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,10087,Open Access Books,Open Access Bücher,Open Access Livres
Project funding,749873,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,5980,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,560928,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,850012,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,711550,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,740892,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Careers,756179,Ambizione,Ambizione,Ambizione
Careers,924068,Ambizione,Ambizione,Ambizione
Careers,931280,Ambizione,Ambizione,Ambizione
Careers,825324,Ambizione,Ambizione,Ambizione
Careers,926370,Ambizione,Ambizione,Ambizione
Careers,811604,Ambizione,Ambizione,Ambizione
Project funding,1095772,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Programmes,2763450,Sinergia,Sinergia,Sinergia
Programmes,317004,COST (European Cooperation in Science and Technology),COST (European Cooperation in Science and Technology),COST (European Cooperation in Science and Technology)
Programmes,231264,COST (European Cooperation in Science and Technology),COST (European Cooperation in Science and Technology),COST (European Cooperation in Science and Technology)
Programmes,1213393,Sinergia,Sinergia,Sinergia
Programmes,272984,COST (European Cooperation in Science and Technology),COST (European Cooperation in Science and Technology),COST (European Cooperation in Science and Technology)
Infrastructure,2046063,FLARE,FLARE,FLARE
Careers,788205,SNSF Professorships,SNF-Förderungsprofessuren,Professeurs boursiers FNS
Project funding,641969,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,25000,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,110000,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,7400,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,8100,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,16600,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,16300,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,12500,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,10000,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,1384403,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,12600,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,377276,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,16106,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,93936,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,1541153,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,1526321,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,26800,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,15000,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,18500,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,12900,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,453722,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Careers,237824,Doc.CH (until 2020),Doc.CH (bis 2020),Doc.CH (jusqu'en 2020)
Project funding,812000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,908000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,808182,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,682910,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,688110,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,500000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,194844,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,307796,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,184438,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,1472435,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,853858,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,1176697,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,812000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,193477,Agora,Agora,Agora
Project funding,373980,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,679784,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Programmes,157380,COST (European Cooperation in Science and Technology),COST (European Cooperation in Science and Technology),COST (European Cooperation in Science and Technology)
Science communication,20000,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,25000,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Careers,112600,Fellowships,Stipendien,Bourses 
Careers,110000,Fellowships,Stipendien,Bourses 
Careers,124000,Fellowships,Stipendien,Bourses 
Careers,78000,Fellowships,Stipendien,Bourses 
Science communication,3706,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2568,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3664,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1981,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5329,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1590,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2950,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1982,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2901,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4012,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3780,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1956,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1988,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1144,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3230,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5359,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1731,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3215,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1580,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5391,Open Access Article,Open Access Artikel,Open Access Article
Science communication,387,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1190,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2181,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1820,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2908,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3009,Open Access Article,Open Access Artikel,Open Access Article
Science communication,603,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2222,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3431,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1723,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5016,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1905,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2882,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1814,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2921,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5345,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5277,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1509,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2240,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2963,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5005,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2493,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1895,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1774,Open Access Article,Open Access Artikel,Open Access Article
Science communication,127,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1715,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1995,Open Access Article,Open Access Artikel,Open Access Article
Careers,100600,Fellowships,Stipendien,Bourses 
Careers,110600,Fellowships,Stipendien,Bourses 
Science communication,1876,Open Access Article,Open Access Artikel,Open Access Article
Careers,106000,Fellowships,Stipendien,Bourses 
Science communication,1695,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2325,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1963,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1942,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1723,Open Access Article,Open Access Artikel,Open Access Article
Project funding,228398,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,9200,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,484164,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Careers,628200,Ambizione,Ambizione,Ambizione
Programmes,129080,Bridge - Proof of Concept,Bridge - Proof of Concept,Bridge - Proof of Concept
Project funding,318199,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,486784,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,473864,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,25000,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,18500,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Careers,626420,Ambizione,Ambizione,Ambizione
Project funding,403073,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Programmes,216100,ERA-NET,ERA-NET,ERA-NET
Project funding,1122300,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,8850,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Project funding,427564,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,715878,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Programmes,274878,ERA-NET,ERA-NET,ERA-NET
Programmes,319883,COST (European Cooperation in Science and Technology),COST (European Cooperation in Science and Technology),COST (European Cooperation in Science and Technology)
Project funding,867924,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,908000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,1100000,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Careers,1756582,Eccellenza,Eccellenza,Eccellenza
Project funding,246964,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Programmes,249820,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux
Programmes,1250000,Bridge - Discovery,Bridge - Discovery,Bridge - Discovery
Programmes,2970317,Sinergia,Sinergia,Sinergia
Science communication,198786,Agora,Agora,Agora
Science communication,25000,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,25000,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,14043,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,25000,Open Access Books,Open Access Bücher,Open Access Livres
Project funding,584179,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,15000,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,9050,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,20000,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,9400,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,15000,Open Access Books,Open Access Bücher,Open Access Livres
Careers,170499,Doc.CH (until 2020),Doc.CH (bis 2020),Doc.CH (jusqu'en 2020)
Careers,217143,Doc.CH (until 2020),Doc.CH (bis 2020),Doc.CH (jusqu'en 2020)
Careers,226962,Doc.CH (until 2020),Doc.CH (bis 2020),Doc.CH (jusqu'en 2020)
Careers,188802,Doc.CH,Doc.CH,Doc.CH
Careers,208209,Doc.CH,Doc.CH,Doc.CH
Careers,219739,Doc.CH,Doc.CH,Doc.CH
Science communication,19000,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Careers,1820762,Eccellenza,Eccellenza,Eccellenza
Careers,1823079,Eccellenza,Eccellenza,Eccellenza
Science communication,18000,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,14400,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,11900,Scientific Exchanges,Scientific Exchanges,Scientific Exchanges
Science communication,14000,Open Access Books,Open Access Bücher,Open Access Livres
Careers,212952,Doc.CH,Doc.CH,Doc.CH
Programmes,1933400,Sinergia,Sinergia,Sinergia
Careers,779615,Ambizione,Ambizione,Ambizione
Project funding,297872,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Project funding,274820,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial)
Project funding,423050,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Science communication,20000,Open Access Books,Open Access Bücher,Open Access Livres
Project funding,232964,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Programmes,952267,Bridge - Discovery,Bridge - Discovery,Bridge - Discovery
Project funding,221188,Project funding (Div. I-III),Projektförderung (Abt. I-III),Encouragement de projets (Div. I-III)
Careers,21500,Fellowships,Stipendien,Bourses 
Careers,37150,Fellowships,Stipendien,Bourses 
Careers,16290,Fellowships,Stipendien,Bourses 
Science communication,11900,Open Access Books,Open Access Bücher,Open Access Livres
Science communication,5347,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2436,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1723,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1500,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1248,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2762,Open Access Article,Open Access Artikel,Open Access Article
Science communication,546,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5404,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3619,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1551,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1500,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5393,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2827,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1897,Open Access Article,Open Access Artikel,Open Access Article
Science communication,534,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1408,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2761,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2914,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4777,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2930,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1118,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3670,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1723,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1723,Open Access Article,Open Access Artikel,Open Access Article
Science communication,786,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1723,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2200,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1940,Open Access Article,Open Access Artikel,Open Access Article
